City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
391,Tanete,ID,74.61,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
396,Tofield,CA,69.82,overcast clouds,53.3668,-112.6686,Tofield Hotel
398,Kaoma,ZM,64.4,few clouds,-14.7833,24.8,KAOMA AIRPORT
402,Craig,US,64.83,clear sky,40.5153,-107.5464,"Candlewood Suites Craig-Northwest, an IHG Hotel"
404,Yulara,AU,60.64,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
405,Superior,US,64.94,overcast clouds,46.7208,-92.1041,"Holiday Inn Express & Suites Superior - Duluth Area, an IHG Hotel"
409,Penzance,GB,67.21,clear sky,50.1186,-5.5371,Artist Residence Penzance
410,Tabuk,PH,77.34,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
411,Broome,US,68.7,few clouds,42.2506,-75.833,Chenango Valley State Park
417,Tezu,IN,73.99,overcast clouds,27.9167,96.1667,Circuit House
433,Yate,GB,73.71,scattered clouds,51.5407,-2.4184,The Moda House
434,Chapais,CA,67.78,broken clouds,49.7834,-74.8492,Hôtel Opémiska
435,Vila,PT,69.75,scattered clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
436,Mogadishu,SO,78.91,overcast clouds,2.0371,45.3438,Hotel Juba
437,Pocatello,US,70.66,scattered clouds,42.8713,-112.4455,Clarion Inn Pocatello
438,Macomb,US,66.18,overcast clouds,40.4592,-90.6718,Hampton Inn Macomb
442,Northam,GB,70.14,scattered clouds,51.0333,-4.2167,Durrant House Hotel
443,Sayyan,YE,72.12,few clouds,15.1718,44.3244,متنزه و بحيرة سيان
447,Registro,BR,64.35,light rain,-24.4875,-47.8436,Régis Hotel
448,Makasar,ID,77.05,few clouds,-5.14,119.4221,Hotel Horison Ultima Makassar
450,Fare,PF,77.99,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
451,Vila Do Maio,CV,79.59,broken clouds,15.1333,-23.2167,Hotel Marilu
452,Nhulunbuy,AU,75.81,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
454,Sao Filipe,CV,74.55,clear sky,14.8961,-24.4956,Hotel Xaguate
455,Hobyo,SO,79.12,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
456,Puerto Baquerizo Moreno,EC,76.19,broken clouds,-0.9,-89.6,Hotel los Algarrobos
458,Marihatag,PH,76.08,heavy intensity rain,8.7936,126.2969,Mariner's Place & Resort
459,Luanda,AO,78.8,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
462,Karpathos,GR,73.36,few clouds,35.507,27.2132,Alex
463,Roma,US,69.1,scattered clouds,43.2128,-75.4557,Wingate By Wyndham Rome
464,Divnomorskoye,RU,68.76,scattered clouds,44.5011,38.1353,Primorskiy
465,Jinchang,CN,65.17,overcast clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
466,Fukue,JP,69.15,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
467,Kilindoni,TZ,78.26,few clouds,-7.9139,39.6668,Bustani B&B
469,Mitchell,US,73.74,clear sky,43.7094,-98.0298,Kelly Inn & Suites
470,Gushikawa,JP,76.23,broken clouds,26.3544,127.8686,Kirari Guest House
472,Altay,CN,64.53,clear sky,47.8667,88.1167,Jinqiao Hotel
473,Kayanga,TZ,62.92,overcast clouds,-1.5303,31.1511,Sunflower Hotel
474,Fjerritslev,DK,60.66,scattered clouds,57.0813,9.2664,Danhostel Fjerritslev
479,Anamur,TR,72.95,few clouds,36.0751,32.8369,Luna Piena Beach Hotel
480,Sampit,ID,74.3,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
481,Bergama,TR,72.66,scattered clouds,39.1207,27.1805,Anil Hotel
482,Kurskaya,RU,69.58,clear sky,44.05,44.45,Gostinitsa
484,Chulym,RU,65.44,few clouds,55.0997,80.9572,"""U Tat'yany"""
485,Harper,LR,77.74,moderate rain,4.375,-7.7169,Screensaver
489,Belgrade,RS,60.66,light rain,44.803999999999995,20.4651,Saruna Wellness - Hotel Park Belgrade
491,Locri,IT,71.55,broken clouds,38.2414,16.2623,Grand Hotel President
493,Nipawin,CA,73.44,scattered clouds,53.3668,-104.0009,Tobin Lake Motel
494,Ouesso,CG,75.83,overcast clouds,1.6136,16.0517,Hôtel LAVOUMA suite
496,Boyolangu,ID,74.95,broken clouds,-8.1181,111.8935,Yos ega cv
498,San Rafael,AR,69.78,overcast clouds,-34.6177,-68.3301,Hotel San Rafael
499,Shetpe,KZ,73.02,clear sky,44.1667,52.1167,Rtsm Shetpe Analog
500,Yichang,CN,73.83,light rain,30.7144,111.2847,Gezhouba Hotel
501,Bay Roberts,CA,65.95,overcast clouds,47.5999,-53.2648,Stonewall Inn
502,Cabadiangan,PH,77.13,overcast clouds,9.7531,122.4739,Kipot
503,Souillac,MU,73.78,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
505,Buala,SB,78.93,light rain,-8.145,159.5921,Maringe Lagoon Lodge
507,Tapiramuta,BR,78.8,broken clouds,-11.8472,-40.7914,Casa Alencar
514,Hailey,US,70.9,clear sky,43.5196,-114.3153,Wood River Inn & Suites
515,Lanja,IN,79.95,broken clouds,16.85,73.55,Brahmagiri
516,Arlington,US,74.05,mist,32.7357,-97.1081,Days Inn by Wyndham Arlington Six Flags/AT&T Stadium
518,Rapid City,US,72.86,clear sky,44.0805,-103.23100000000001,"Hotel Alex Johnson Rapid City, Curio Collection by Hilton"
520,Nanakuli,US,79.03,broken clouds,21.3906,-158.1547,Camp Pālehua
521,Bonthe,SL,75.63,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
522,Benguela,AO,77.0,clear sky,-12.5763,13.4055,Hotel Praia Morena
527,Rancho Palos Verdes,US,67.53,overcast clouds,33.7445,-118.387,Terranea Resort
531,Lamu,KE,77.76,overcast clouds,-2.2717,40.902,Lamu House
534,Fulda,DE,71.67,few clouds,50.5516,9.6752,CityHotel Hessischer Hof KG
535,Sibolga,ID,77.68,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
538,Maxixe,MZ,71.42,scattered clouds,-23.8597,35.3472,Oceano
540,Bumba,CD,79.29,light rain,2.1833,22.4667,Hôtel Cape Town
542,Mabay,PH,77.4,light rain,6.0577,124.4666,Bautista Lodging House
544,Cadillac,US,67.8,overcast clouds,44.2519,-85.4012,"Holiday Inn Express & Suites Cadillac, an IHG Hotel"
547,Katherine,AU,71.92,broken clouds,-14.4667,132.2667,Pine Tree Motel
550,Ussel,FR,71.76,scattered clouds,45.55,2.3167,Logis Hôtel les Gravades
551,Tiarei,PF,73.42,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
553,Dumas,US,62.02,overcast clouds,35.8656,-101.9732,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
560,Zile,TR,61.92,broken clouds,40.3031,35.8864,Zile Öğretmen evi
561,Yashkul,RU,75.24,broken clouds,46.1711,45.3435,Bon Voyazh
564,Sant Feliu De Guixols,ES,77.32,overcast clouds,41.7833,3.0333,Eden Roc Mediterranean Hotel & Spa
565,Kitsuki,JP,65.62,overcast clouds,33.4167,131.6167,里
567,Beni,CD,70.0,overcast clouds,0.5,29.4667,Albertine hotel
568,Daru,PG,77.43,broken clouds,-9.0763,143.2092,Daru Lodge
570,Sol-Iletsk,RU,70.11,scattered clouds,51.1631,54.9918,Raduzhnaya
