City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
136,Belyy Yar,RU,2021-05-31 14:59:08,53.6039,91.3903,57.09,44,0,2.73
137,Bhimunipatnam,IN,2021-05-31 14:59:08,17.8833,83.4333,87.31,72,73,11.59
138,Yinchuan,CN,2021-05-31 14:59:09,38.4681,106.2731,73.53,13,100,4.43
139,Harper,LR,2021-05-31 14:59:09,4.375,-7.7169,80.47,81,99,8.72
140,Poro,PH,2021-05-31 14:59:09,10.6292,124.4087,84.06,71,95,4.16
141,Dingle,PH,2021-05-31 14:59:10,10.9995,122.6711,78.91,90,100,2.66
142,Viedma,AR,2021-05-31 14:59:10,-40.8135,-62.9967,52.81,58,100,2.1
143,Meadow Lake,US,2021-05-31 14:59:11,34.8014,-106.5436,67.84,58,79,5.46
144,Huarmey,PE,2021-05-31 14:59:11,-10.0681,-78.1522,68.97,79,93,8.57
145,Alice Springs,AU,2021-05-31 14:59:11,-23.7,133.8833,58.55,29,91,7.65
146,Carnarvon,AU,2021-05-31 14:59:12,-24.8667,113.6333,59.07,88,1,8.05
147,Koslan,RU,2021-05-31 14:59:12,63.4564,48.8989,54.66,37,97,5.03
148,Namtsy,RU,2021-05-31 14:59:13,62.7161,129.6658,51.91,73,62,2.86
149,Salalah,OM,2021-05-31 14:59:13,17.0151,54.0924,83.34,75,99,7.65
150,Biak,ID,2021-05-31 14:59:13,-0.9131,122.8766,76.75,85,100,4.36
151,Lavrentiya,RU,2021-05-31 14:59:14,65.5833,-171.0,28.94,87,22,8.93
152,Touros,BR,2021-05-31 14:59:14,-5.1989,-35.4608,83.3,63,85,14.03
153,Boyolangu,ID,2021-05-31 14:59:14,-8.1181,111.8935,75.25,92,79,2.77
154,Praia,CV,2021-05-31 14:59:15,14.9215,-23.5087,81.14,57,20,24.16
155,Udachnyy,RU,2021-05-31 14:59:15,66.4167,112.4,56.32,46,55,11.12
156,Kontagora,NG,2021-05-31 14:59:15,10.3999,5.4695,104.31,21,70,0.27
157,Torbay,CA,2021-05-31 14:59:16,47.6666,-52.7314,65.17,36,20,12.66
158,Bosaso,SO,2021-05-31 14:59:16,11.2842,49.1816,91.38,70,20,6.91
159,Dunedin,NZ,2021-05-31 14:54:51,-45.8742,170.5036,44.8,87,100,13.0
160,Rio Grande,BR,2021-05-31 14:59:17,-32.035,-52.0986,62.94,46,11,11.86
161,Khatanga,RU,2021-05-31 14:59:17,71.9667,102.5,35.33,98,100,8.12
162,Dalby,AU,2021-05-31 14:59:18,-27.1833,151.2667,45.3,81,70,4.97
163,Kieta,PG,2021-05-31 14:59:18,-6.2167,155.6333,78.85,86,99,4.63
164,Petropavlovsk-Kamchatskiy,RU,2021-05-31 14:59:18,53.0452,158.6483,39.79,87,90,2.28
165,Yuancheng,CN,2021-05-31 14:59:19,36.652,107.7896,67.57,30,100,2.66
